# Метеостанция Берлин / Темпельхоф, Германия, WMO_ID=10384, выборка с 01.01.2015 по 31.12.2015, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=10384&lang=ru
#
"Местное время в Берлине / Темпельхофе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2015 23:00";"1.4";"764.5";"769.1";"0.0";"97";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"31.12.2015 22:00";"1.1";"764.5";"769.2";"0.2";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"31.12.2015 21:00";"1.0";"764.2";"768.9";"-0.4";"92";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.1";"";"";"";"";"";"";
"31.12.2015 20:00";"1.3";"764.5";"769.1";"0.0";"89";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"31.12.2015 19:00";"2.2";"764.3";"769.0";"0.1";"72";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"-2.5";"3.0";"";"";"";"";"";"";"-2.4";"Следы осадков";"12";"";"";"";"";
"31.12.2015 18:00";"2.5";"764.6";"769.3";"0.7";"61";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"31.12.2015 17:00";"2.1";"764.5";"769.1";"0.7";"53";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.7";"";"";"";"";"";"";
"31.12.2015 16:00";"2.2";"764.2";"768.8";"0.6";"50";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.2";"";"";"";"";"";"";
"31.12.2015 15:00";"2.3";"763.9";"768.5";"0.1";"48";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"31.12.2015 14:00";"2.9";"763.8";"768.4";"0.0";"45";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.1";"";"";"";"";"";"";
"31.12.2015 13:00";"2.2";"763.6";"768.2";"-0.3";"45";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.5";"Осадков нет";"6";"";"";"";"";
"31.12.2015 12:00";"1.2";"763.8";"768.4";"-0.4";"47";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.9";"";"";"";"";"";"";
"31.12.2015 11:00";"-0.1";"763.8";"768.5";"-0.1";"50";"Ветер, дующий с юго-юго-востока";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.3";"";"";"";"";"";"";
