# Метеостанция Иркутск, Россия, WMO_ID=30710, выборка с 01.01.2010 по 30.07.2010, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=30710&lang=ru
#
"Местное время в Иркутске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2010 23:00";"10.9";"722.4";"764.0";"";"84";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"10.0";"8.3";"";"";"";"";"";"";
"30.07.2010 20:00";"15.3";"722.0";"762.8";"";"61";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"18.3";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"600-1000";"";"";"50.0";"7.9";"";"";"";"";"";"";
"30.07.2010 17:00";"17.1";"721.6";"762.2";"";"50";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"";"";"50.0";"6.6";"";"";"";"";"";"";
"30.07.2010 14:00";"16.5";"722.1";"762.8";"";"50";"Ветер, дующий с западо-северо-запада";"4";"";"";"60%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"";"";"50.0";"6.0";"";"";"";"";"";"";
"30.07.2010 11:00";"14.4";"722.3";"763.4";"";"68";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"8.6";"";"";"";"";"";"";
"30.07.2010 08:00";"11.7";"722.2";"763.6";"";"76";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"8.6";"";"";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"7.7";"";"";"";"";"";"";
"30.07.2010 05:00";"9.8";"722.3";"764.0";"";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"50.0";"7.8";"";"";"";"";"";"";
"30.07.2010 02:00";"11.3";"722.2";"763.6";"";"82";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"8.3";"";"";"";"";"";"";
"29.07.2010 23:00";"12.7";"721.7";"763.0";"";"78";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"9.0";"";"";"";"";"";"";
"29.07.2010 20:00";"15.5";"720.4";"761.2";"";"70";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"17.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"50.0";"10.1";"0.5";"12";"";"";"";"";
"29.07.2010 17:00";"14.2";"719.3";"760.1";"";"84";"Ветер, дующий с западо-северо-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"300-600";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"11.5";"";"";"";"";"";"";
