# Метеостанция Овруч, Украина, WMO_ID=33213, выборка с 01.01.2019 по 30.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33213&lang=ru
#
"Местное время в Овруче";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2019 12:00";"26.6";"739.0";"";"";"47";"";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.07.2019 09:00";"23.0";"739.0";"";"";"73";"";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.07.2019 06:00";"17.1";"740.0";"";"";"96";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.07.2019 03:00";"20.0";"739.0";"";"";"92";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.07.2019 00:00";"20.8";"";"";"";"89";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.07.2019 21:00";"24.6";"738.0";"";"";"72";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.07.2019 18:00";"29.5";"738.0";"";"";"71";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.07.2019 15:00";"29.8";"";"";"";"78";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"29.07.2019 12:00";"26.8";"739.0";"";"";"77";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.07.2019 09:00";"23.2";"";"";"";"71";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"17.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"29.07.2019 06:00";"18.2";"";"";"";"84";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"29.07.2019 03:00";"17.6";"";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
