# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.01.2019 по 30.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2019 12:00";"13.2";"757.0";"757.6";"-0.3";"55";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.3";"";"";"";"";"";"";
"30.07.2019 09:00";"12.4";"757.3";"757.9";"-0.6";"62";"Ветер, дующий с северо-северо-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"8.4";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"7.0";"";"";
"30.07.2019 06:00";"8.8";"757.9";"758.5";"-0.3";"75";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"8.4";"";"";"";"";"";"";"10.0";"4.5";"Следы осадков";"12";"";"";"";"";
"30.07.2019 03:00";"9.7";"758.2";"758.7";"0.5";"67";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"30.07.2019 00:00";"11.5";"757.7";"758.2";"0.1";"61";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.2";"";"";"";"";"";"";
"29.07.2019 21:00";"13.2";"757.6";"758.2";"-0.2";"64";"Ветер, дующий с северо-северо-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"17.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.5";"Следы осадков";"12";"";"";"";"";
"29.07.2019 18:00";"14.5";"757.8";"758.3";"-0.3";"61";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"Осадков нет";"12";"";"";"";"";
"29.07.2019 15:00";"16.6";"758.1";"758.6";"-1.0";"44";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.3";"";"";"";"";"";"";
"29.07.2019 12:00";"17.2";"759.1";"759.6";"-1.1";"42";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.0";"";"";"";"";"";"";
"29.07.2019 09:00";"13.8";"760.2";"760.7";"-0.6";"56";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"10.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"8.0";"";"";
