# Метеостанция Вологда (аэропорт), Россия, WMO_ID=27037, выборка с 01.01.2018 по 30.07.2018, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27037&lang=ru
#
"Местное время в Вологде (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2018 21:00";"15.4";"759.0";"770.7";"-0.1";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.2";"";"";"";"";"";"";
"30.07.2018 18:00";"23.7";"759.1";"770.5";"-0.7";"42";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"24.2";"";"";"";"";"";"20.0";"10.0";"Осадков нет";"12";"";"";"";"";
"30.07.2018 15:00";"23.3";"759.8";"771.3";"-0.5";"44";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"10.3";"";"";"";"";"";"";
"30.07.2018 12:00";"21.9";"760.3";"771.8";"-0.3";"45";"Ветер, дующий с юго-юго-востока";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.4";"";"";"";"";"";"";
"30.07.2018 09:00";"19.0";"760.6";"772.2";"0.3";"58";"Ветер, дующий с юго-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.5";"";"";"";"";"";"";
"30.07.2018 06:00";"13.3";"760.3";"772.1";"0.3";"75";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"7.5";"";"";"";"";"";"";"20.0";"8.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"30.07.2018 03:00";"10.6";"760.0";"772.0";"0.0";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.5";"";"";"";"";"";"";
"30.07.2018 00:00";"10.6";"760.0";"772.0";"1.2";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.5";"";"";"";"";"";"";
"29.07.2018 21:00";"16.4";"758.8";"770.5";"0.3";"62";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.1";"";"";"";"";"";"";
"29.07.2018 18:00";"21.6";"758.5";"769.9";"-0.6";"40";"Ветер, дующий с северо-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"22.4";"";"";"";"";"";"20.0";"7.3";"Осадков нет";"12";"";"";"";"";
