# Метеостанция Варшава / Окенце (аэропорт), Польша, WMO_ID=12375, выборка с 01.01.2011 по 31.12.2011, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=12375&lang=ru
#
"Местное время в Варшаве / Окенце (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2011 22:00";"-3.9";"751.6";"761.8";"";"100";"Штиль, безветрие";"0";"";"";"50%.";"Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"100-200";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"0.3";"-3.9";"";"";"";"";"";"";
"31.12.2011 19:00";"0.2";"750.7";"760.7";"";"99";"Ветер, дующий с западо-северо-запада";"1";"";"";"50%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"0.0";"2.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"100-200";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"8.0";"0.1";"1.0";"12";"";"";"";"";
"31.12.2011 16:00";"1.7";"749.6";"759.6";"";"95";"Ветер, дующий с западо-северо-запада";"3";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"8.0";"1.0";"";"";"";"";"";"";
"31.12.2011 13:00";"2.0";"748.0";"758.0";"";"98";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"";"";"5.0";"1.7";"1.0";"6";"";"";"";"";
"31.12.2011 10:00";"1.5";"747.8";"757.8";"";"96";"Ветер, дующий с западо-юго-запада";"3";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"200-300";"";"";"6.0";"0.9";"";"";"";"";"";"";
"31.12.2011 07:00";"0.6";"746.7";"756.7";"";"99";"Ветер, дующий с запада";"4";"";"11";"100%.";"Дымка. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.3";"2.5";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"100-200";"";"";"6.0";"0.5";"2.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"1.0";
"31.12.2011 04:00";"0.6";"745.4";"755.4";"";"99";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"100-200";"";"";"6.0";"0.5";"";"";"";"";"";"";
"31.12.2011 01:00";"0.7";"744.3";"754.3";"";"97";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.5";"0.3";"0.6";"6";"";"";"";"";
"30.12.2011 22:00";"1.7";"744.0";"753.9";"";"93";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"0.7";"";"";"";"";"";"";
"30.12.2011 19:00";"2.5";"743.3";"753.2";"";"88";"Ветер, дующий с юго-запада";"2";"";"8";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.4";"3.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"0.7";"Следы осадков";"12";"";"";"";"";
"30.12.2011 16:00";"2.4";"742.6";"752.5";"";"89";"Ветер, дующий с юго-запада";"2";"";"8";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"0.8";"";"";"";"";"";"";
"30.12.2011 13:00";"2.8";"742.0";"751.8";"";"76";"Ветер, дующий с юга";"2";"";"8";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"15.0";"-1.0";"Осадков нет";"6";"";"";"";"";
"30.12.2011 10:00";"1.4";"743.0";"752.9";"";"81";"Ветер, дующий с юго-юго-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"";"";"20.0";"-1.5";"";"";"";"";"";"";
"30.12.2011 07:00";"0.5";"743.8";"753.8";"";"85";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"0.0";"4.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"";"";"20.0";"-1.7";"Осадков нет";"12";"Поверхность почвы влажная.";"";"";"";
"30.12.2011 04:00";"0.7";"745.0";"755.0";"";"85";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-1.5";"";"";"";"";"";"";
"30.12.2011 01:00";"0.6";"747.2";"757.2";"";"88";"Ветер, дующий с юга";"2";"";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-1.2";"Осадков нет";"6";"";"";"";"";
"29.12.2011 22:00";"2.4";"748.6";"758.6";"";"81";"Ветер, дующий с юга";"2";"";"10";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.5";"";"";"";"";"";"";
"29.12.2011 19:00";"4.9";"749.3";"759.2";"";"75";"Ветер, дующий с юго-запада";"4";"";"9";"90  или более, но не 100%";" ";"";"";"4.0";"5.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"";"";"15.0";"0.8";"Следы осадков";"12";"";"";"";"";
"29.12.2011 16:00";"5.1";"";"";"";"76";"Ветер, дующий с западо-юго-запада";"3";"";"9";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"15.0";"1.2";"";"";"";"";"";"";
"29.12.2011 13:00";"5.3";"750.4";"760.4";"";"81";"Ветер, дующий с западо-юго-запада";"4";"9";"11";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"2.3";"Следы осадков";"6";"";"";"";"";
"29.12.2011 10:00";"4.1";"751.6";"761.5";"";"84";"Ветер, дующий с западо-юго-запада";"3";"";"11";"90  или более, но не 100%";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"1.6";"";"";"";"";"";"";
"29.12.2011 07:00";"4.2";"751.4";"761.2";"";"82";"Ветер, дующий с юго-запада";"5";"";"9";"90  или более, но не 100%";" ";"";"";"4.2";"6.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"20.0";"1.4";"Осадков нет";"12";"Поверхность почвы влажная.";"";"";"";
"29.12.2011 04:00";"4.3";"752.5";"762.4";"";"83";"Ветер, дующий с юго-запада";"3";"";"9";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"1.7";"";"";"";"";"";"";
"29.12.2011 01:00";"4.8";"753.8";"763.6";"";"84";"Ветер, дующий с юго-юго-запада";"2";"";"9";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"2.3";"Осадков нет";"6";"";"";"";"";
