# Метеостанция Омск, Россия, WMO_ID=28698, выборка с 08.04.2019 по 15.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28698&lang=ru
#
"Местное время в Омске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.07.2019 21:00";"24.4";"748.0";"758.5";"-0.5";"57";"Ветер, дующий с востоко-северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"28.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"15.4";"Осадков нет";"12";"";"";"";"";
"15.07.2019 18:00";"28.5";"748.5";"758.8";"-0.6";"34";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"11.1";"";"";"";"";"";"";
"15.07.2019 15:00";"28.1";"749.1";"759.4";"-0.8";"37";"Ветер, дующий с востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.2";"";"";"";"";"";"";
"15.07.2019 12:00";"26.1";"749.9";"760.4";"-0.8";"44";"Ветер, дующий с востока";"5";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.0";"";"";"";"";"";"";
"15.07.2019 09:00";"23.1";"750.7";"761.2";"0.6";"60";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"15.3";"";"";"";"";"";"";"20.0";"14.9";"Осадков нет";"12";"";"";"";"";
"15.07.2019 06:00";"17.6";"750.1";"760.9";"0.0";"83";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"15.07.2019 03:00";"18.0";"750.1";"760.9";"0.0";"81";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"15.07.2019 00:00";"18.7";"750.1";"760.8";"0.0";"90";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"14.07.2019 21:00";"25.5";"750.1";"760.5";"0.0";"63";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"29.7";"";"";"";"";"";"20.0";"17.9";"Осадков нет";"12";"";"";"";"";
"14.07.2019 18:00";"29.2";"750.1";"760.4";"-0.4";"44";"Ветер, дующий с востоко-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"15.7";"";"";"";"";"";"";
"14.07.2019 15:00";"29.1";"750.5";"760.9";"-0.5";"41";"Ветер, дующий с востоко-северо-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.7";"";"";"";"";"";"";
"14.07.2019 12:00";"27.5";"751.0";"761.3";"-0.4";"46";"Ветер, дующий с востока";"4";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"14.7";"";"";"";"";"";"";
"14.07.2019 09:00";"24.7";"751.4";"761.9";"0.2";"56";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"14.1";"";"";"";"";"";"";"20.0";"15.3";"Осадков нет";"12";"";"";"";"";
"14.07.2019 06:00";"16.4";"751.2";"762.0";"0.2";"96";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";"Более или менее сплошной слой приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"20.0";"15.7";"";"";"";"";"";"";
"14.07.2019 03:00";"15.1";"751.0";"761.9";"0.0";"94";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.1";"";"";"";"";"";"";
"14.07.2019 00:00";"17.0";"751.0";"761.8";"0.3";"92";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.6";"";"";"";"";"";"";
"13.07.2019 21:00";"24.6";"750.7";"761.2";"0.2";"60";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"28.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"16.3";"Осадков нет";"12";"";"";"";"";
