# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 08.04.2019 по 15.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.07.2019 18:00";"19.5";"757.7";"758.2";"-0.2";"36";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.0";"Осадков нет";"12";"";"";"";"";
"15.07.2019 15:00";"18.3";"757.9";"758.5";"-0.2";"40";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.3";"";"";"";"";"";"";
"15.07.2019 12:00";"18.1";"758.1";"758.6";"-0.1";"51";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.6";"";"";"";"";"";"";
"15.07.2019 09:00";"15.6";"758.2";"758.7";"0.0";"60";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"11.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"15.07.2019 06:00";"13.3";"758.2";"758.8";"-0.1";"71";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"11.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2000-2500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"8.2";"Осадков нет";"12";"";"";"";"";
"15.07.2019 03:00";"11.9";"758.3";"758.8";"-0.1";"87";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.8";"";"";"";"";"";"";
"15.07.2019 00:00";"12.2";"758.4";"758.9";"0.2";"82";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.1";"";"";"";"";"";"";
"14.07.2019 21:00";"15.0";"758.2";"758.8";"0.0";"60";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"19.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.3";"0.4";"12";"";"";"";"";
"14.07.2019 18:00";"14.7";"758.2";"758.8";"0.6";"66";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.4";"0.4";"12";"";"";"";"";
"14.07.2019 15:00";"17.3";"757.6";"758.2";"-0.4";"51";"Ветер, дующий с юго-запада";"2";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"";"";"";"";"";"";
"14.07.2019 12:00";"16.6";"758.0";"758.5";"0.5";"56";"Ветер, дующий с западо-юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.6";"";"";"";"";"";"";
"14.07.2019 09:00";"15.4";"757.5";"758.0";"-0.1";"54";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"9.5";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"9.0";"";"";
"14.07.2019 06:00";"10.3";"757.6";"758.2";"0.2";"84";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"9.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"Следы осадков";"12";"";"";"";"";
"14.07.2019 03:00";"11.5";"757.4";"757.9";"0.4";"73";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.8";"";"";"";"";"";"";
"14.07.2019 00:00";"12.7";"757.0";"757.6";"0.3";"61";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"1000-1500";"";"";"10.0";"5.3";"";"";"";"";"";"";
"13.07.2019 21:00";"14.2";"756.7";"757.2";"0.3";"65";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"18.6";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"1000-1500";"";"";"10.0";"7.6";"Следы осадков";"12";"";"";"";"";
